1713010524,534,ÄÐ,73,77,65,71,90,74,64,54,60,89,71.7,50,85,72,63,75,64,46,85,65,87,82,72.4,36,85,77,77,71,82,75,58,82,86,85,77.8,24,79,69,93,69,85,0,70,75,85,69.4,47,72.84,41
1713010525,534,ÄÐ,66,93,73,60,82,73,72,69,67,90,74.5,40,85,63,53,68,66,0,85,75,95,75,66.5,48,85,78,77,70,74,85,64,75,92,85,78.5,23,72,70,84,73,69,82,62,75,85,74.7,33,73.54,36
1713010526,535,ÄÐ,77,77,52,86,84,39,43,30,59,90,70,53,85,20,49,63,46,40,75,65,85,85,61.3,52,75,77,49,67,60,65,55,60,76,59,64.3,51,79,60,63,83,83,80,80,75,85,76.4,26,68.01,49
1713010527,535,ÄÐ,72,93,67,72,84,95,65,69,71,91,77.9,19,85,60,64,90,91,92,95,95,77,62,81.1,8,85,77,64,78,70,95,94,84,87,85,81.9,9,79,65,81,97,91,87,95,95,65,83.9,4,81.20,6
1713010528,536,ÄÐ,78,85,68,87,88,71,60,72,52,88,74.9,39,85,49,53,69,70,88,85,95,85,75,75.4,28,85,81,65,84,56,85,78,71,83,75,76.3,30,66,64,66,72,78,64,66,65,95,70.7,41,74.32,34
1713010529,534,ÄÐ,82,77,74,84,95,76,60,75,80,90,79.3,11,85,63,67,60,84,66,85,75,95,95,77.5,19,75,79,66,94,54,75,70,81,84,85,76.3,30,76,81,94,80,75,66,68,75,95,78.9,18,78.00,19
1713010530,535,ÄÐ,78,84,63,87,87,70,60,53,65,89,73.6,43,85,52,48,62,74,61,85,65,87,77,69.6,45,85,81,63,72,66,75,63,71,74,65,71.5,43,70,61,72,90,72,82,67,75,75,73.8,35,72.12,43
1713010531,536,ÄÐ,85,84,62,81,87,82,61,72,73,90,77.7,22,85,75,64,63,81,87,85,85,77,77,77.9,16,85,77,61,91,60,65,77,72,73,95,75.6,32,71,69,83,84,72,73,92,85,95,80.4,15,77.91,20
1713010532,537,ÄÐ,78,77,56,60,95,69,61,56,60,90,70.2,51,85,43,64,68,76,66,75,75,77,72,70.1,44,85,69,45,79,60,75,51,51,75,85,67.5,48,68,61,67,62,66,63,85,75,85,70.2,43,69.51,46
1713010533,535,ÄÐ,91,77,69,98,92,78,62,72,74,90,80.3,7,85,60,66,66,80,54,75,75,95,88,74.4,31,85,71,61,96,53,95,64,68,76,75,74.4,34,62,75,92,68,70,82,61,75,65,72.2,38,75.33,31
1713010534,536,ÄÐ,73,77,67,75,88,70,76,67,68,89,75,37,85,60,68,79,75,76,85,85,85	67,76.5,24,85,71,74,77,47,65,74,71,80,75,71.9,40,67,78,62,81,69,76,65,65,65,69.8,46,73.29,39
1713010535,537,ÄÐ,73,85,75,67,93,80,81,70,65,90,77.9,20,85,68,70,84,88,75,85,85,85,81,80.6,10,95,78,65,85,69,85,76,78,89,95,81.5,12,64,69,78,92,87,79,68,75,65,75.2,29,78.81,12
1713010536,539,ÄÐ,75,84,75,76,84,79,77,60,68,88,76.6,32,85,62,72,74,75,84,85,95,87,63,78.2,15,85,83,70,80,66,75,79,73,84,95,79,19,66,70,77,76,82,71,64,75,95,75.1,30,77.23,24
