,name,price,shop
108,"['狼蛛（AULA）F2088机械', ' 有线', ' 游戏', ' 104键背光', ' 宏编程 电脑', '  黑色 青轴 普通版']",['139.00'],['狼蛛外设京东自营官方旗舰店']
109,['\t\n罗技（Logitech）MK365 键鼠套装 无线键鼠套装 办公键鼠套装 黑色 带无线2.4G接收器'],['229.00'],['罗技京东自营旗舰店']
110,['\t\n双飞燕（A4TECH）KB-N8510 KB-N8510 键鼠套装 有线键鼠套装 办公键鼠套装 便携 防泼溅 双U接口  黑色'],['79.00'],['双飞燕京东自营官方旗舰店']
111,"['\t\n航世（B.O.W）HW098A', ' 有线', ' 办公', ' 超薄便携', ' 78键 台式笔记本', ' 静音巧克力按键 黑色 自营']",['34.90'],['航世京东自营旗舰店']
112,"['\t\n罗技（Logitech）K845 机械', ' 有线', ' 游戏办公', ' 全尺寸 单光 黑色 TTC轴 红轴']",['299.00'],['罗技京东自营旗舰店']
113,"['\t\n樱桃（Cherry）MX1.0 TKL G80-3810LSAEU-2  机械', ' 有线', ' 游戏', '  87键机械', ' 黑色 青轴']",['268.00'],['cherry樱桃京东自营旗舰店']
114,"['双飞燕（A4TECH）飞时代FK10 ', ' 有线', ' 办公', ' 全尺寸 超薄时尚 象牙白']",['59.00'],['双飞燕京东自营官方旗舰店']
115,"['\t\n樱桃（Cherry）MX1.0 TKL G80-3810LXAEU-2  机械', ' 有线', ' 游戏', '  87键机械', ' 黑色 茶轴']",['268.00'],['cherry樱桃京东自营旗舰店']
116,['\t\n双飞燕（A4TECH) 3200N 键鼠套装 无线键鼠套装 办公键鼠套装 便携 防泼溅 省电 商务 黑色'],['89.00'],['双飞燕京东自营官方旗舰店']
117,"['\t\n航世（B.O.W）HW156C 无线', ' 静音巧克力按键 超薄便携', ' 笔记本台式通用 办公家用', ' 白色']",['49.00'],['航世京东自营旗舰店']
118,['\t\n达尔优（dareu）机械师+EM905幻彩键鼠套装 有线键鼠套装 游戏键鼠套装 RGB灯效 多模式 宏定义  黑色'],['399.00'],['达尔优京东自营旗舰店']
119,"['戴尔（DELL）KM117 无线办公', '鼠标 键鼠套装（黑色）']",['97.90'],['戴尔京东自营官方旗舰店']
120,"['双飞燕（A4TECH）飞时代FK10 ', ' 有线', ' 办公', ' 全尺寸 超薄时尚 象牙白']",['59.00'],['双飞燕京东自营官方旗舰店']
121,"['罗技（Logitech）K380多设备蓝牙', ' LINE FRIENDS系列-布朗熊']",['229.00'],['罗技京东自营旗舰店']
122,"['\t\n赛德斯（Sades）烽影 机械', ' 有线', ' 游戏', ' 单色背光 104键 外设发光跑马灯 电竞LOL吃鸡 粉色 青轴']",['135.00'],['赛德斯京东自营旗舰店']
123,"['\t\nikbc C104 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 黑色 茶轴']",['388.00'],['ikbc京东自营旗舰店']
124,"['\t\nikbc C104 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 白色 红轴']",['368.00'],['ikbc京东自营旗舰店']
125,"['\t\n赛德斯（Sades）V2020 无线键鼠套装 办公键鼠套装 朋克圆形104键 女性时尚口红', ' 多彩黑底 自营']",['199.00'],['赛德斯京东自营旗舰店']
126,"['美商海盗船 (USCORSAIR) K55', ' 有线连接 游戏', ' 全尺寸RGB背光 宏编程键鼠套装 K55 ']",['329.00'],['美商海盗船超畅行专卖店']
127,"['\t\n雷蛇 Razer 小蜘蛛 黑寡妇蜘蛛 X 竞技版背光款 小蜘蛛 机械', ' 有线', ' 游戏', ' 87键 电竞 黑色 绿轴']",['449.00'],['雷蛇（Razer）京东自营官方旗舰店']
128,"['\t\n摩天手(Mofii) sweet无线复古朋克键鼠套装 办公键鼠套装 鼠标 电脑', ' 笔记本', '  白绿色 自营']",['89.00'],['摩天手（Mofii）京东自营旗舰店']
129,"['\t\nikbc C104 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 黑色 青轴']",['368.00'],['ikbc京东自营旗舰店']
130,"['\t\nikbc C87 机械', ' 有线', ' 游戏', ' 87键 cherry轴 樱桃轴 吃鸡神器  笔记本', ' 白色 青轴']",['318.00'],['ikbc京东自营旗舰店']
131,"['\t\n狼蛛（AULA）T500机械', '鼠标套装 有线键鼠套装 游戏键鼠套装 蒸汽朋克 宏编程 带手托 黑色 青轴 自营']",['189.00'],['狼蛛外设京东自营官方旗舰店']
132,"['雷柏（Rapoo） V500PRO单光版 机械', ' 有线', ' 游戏', ' 104键单光', ' 吃鸡', ' 黑色 茶轴']",['159.00'],['雷柏京东自营官方旗舰店']
